Component;Parameter;DisplayName;
ReqAttachment;serverFileName;File Path;
ReqContractAttachment;serverFileName;File Path;
ReqNAFInfo;deleteDate;Date of deletion;
ReqNAFInfo;createDate;Date of creation;
ReqNAFInfo;deletedBy;Last Modified/Deleted By;
ReqGlobalProcurementInfo;deleteDate;Date of deletion;
ReqGlobalProcurementInfo;createDate;Date of creation;
ReqGlobalProcurementInfo;deletedBy;Last Modified/Deleted By;
ReqGPEuropeInfo;deleteDate;Date of deletion;
ReqGPEuropeInfo;createDate;Date of creation;
ReqGPEuropeInfo;deletedBy;Last Modified/Deleted By;
ReqGPAMEAInfo;deleteDate;Date of deletion;
ReqGPAMEAInfo;createDate;Date of creation;
ReqGPAMEAInfo;deletedBy;Last Modified/Deleted By;
